# предикаты, исключенные из SPARQL-запросов

P1448	официальное название (строка с названием субъекта на официальном языке)
P395	код автомобильного номера
P190	город-побратим 
P1082	численность населения
P155	предыдущее по порядку
P26	супруг(а)
P102	член политической партии	???
P551	место жительства
P2131	номинальный ВВП
P2573	число детей, не учащихся в школе
P1081	индекс человеческого развития
P2250	ожидаемая продолжительность жизни
P4841	суммарный коэффициент рождаемости
P1279	уровень инфляции
P172	этническая группа
P5167	автомобилей на 1000 человек
P4010	ВВП (ППС)
P2299	ППС ВВП на душу населения
P5982	ежегодное количество свадеб
P2132	номинальный ВВП на душу населения
P2134	суммарные запасы
P2219	темп роста реальноо ВВП
P1198	уровень безработицы
P3000	возраст вступления в брак
P41	изображение флага
P2397	код канала YouTube
P2002	учетная запись в Твиттере
P27	гражданство	??? 
P1037	(кто-то) медеджер-директор (кого-то) 
P108	работодатель
P1038	(кто-то) родственник (кого-то)
P18	изображение
P185	аспиранты/докторанты
P451	сожитель
P1174	число посетителей в год
P1128	число сотрудников
P2046	площадь
P1114	число объектов
P1539	женское население
P1540	мужское население
P3087	налоговые поступления
P2403	совокупные активы (компании или организации)
P1831	электорат
P2325	средняя аномалия (астрономия)
P195	хранится в коллекции
P1538	число домохозяйств
P305	код IETF
P3872	пассажиропоток
P1098	число носителей языка
P2139	общая выручка
P421	часовой пояс

# еще нужно внести

P1092	всего произведено
... 
